model,reference,mae,rmse,r2,bias,n
XGBoost (Google Embeddings),ALS CHM,3.6166130044761546,5.279632866295247,0.6116964513239299,0.014224957871009164,500538
Fine-tuned DL (Google Embeddings),ALS CHM,3.5647637844085693,5.271559452908765,0.6128830909729004,0.3121870160102844,500538
Meta Global CHM,ALS CHM,4.984015498716696,7.155261226944604,0.2867941453140782,-1.4689923972276588,500538
